Major_dist,Major_link,Major_points
1.5,1,({296.5, 188.5, 0}{296.5, 190, 0})
12.09,2,({296.5, 188.5, 0}{286, 182.5, 0})
17.46,3,({296.5, 188.5, 0}{280.5, 181.5, 0})
20.3,7,({296.5, 188.5, 0}{280.5, 201, 0})
24.6,5,({296.5, 188.5, 0}{274.5, 177.5, 0})
1.5,0,({296.5, 190, 0}{296.5, 188.5, 0})
12.9,2,({296.5, 190, 0}{286, 182.5, 0})
18.12,3,({296.5, 190, 0}{280.5, 181.5, 0})
19.42,7,({296.5, 190, 0}{280.5, 201, 0})
25.3,5,({296.5, 190, 0}{274.5, 177.5, 0})
5.59,3,({286, 182.5, 0}{280.5, 181.5, 0})
12.09,0,({286, 182.5, 0}{296.5, 188.5, 0})
12.54,5,({286, 182.5, 0}{274.5, 177.5, 0})
12.9,1,({286, 182.5, 0}{296.5, 190, 0})
13.93,6,({286, 182.5, 0}{273, 177.5, 0})
5.59,2,({280.5, 181.5, 0}{286, 182.5, 0})
7.21,5,({280.5, 181.5, 0}{274.5, 177.5, 0})
8.5,6,({280.5, 181.5, 0}{273, 177.5, 0})
10.5,8,({280.5, 181.5, 0}{270, 181.5, 0})
17.46,0,({280.5, 181.5, 0}{296.5, 188.5, 0})
13.2,16,({293, 154, 0}{287.5, 142, 0})
13.66,18,({293, 154, 0}{287.5, 141.5, 0})
17.07,15,({293, 154, 0}{302, 139.5, 0})
23.02,21,({293, 154, 0}{270, 153, 0})
24.58,30,({293, 154, 0}{295, 129.5, 0})
1.5,6,({274.5, 177.5, 0}{273, 177.5, 0})
6.02,8,({274.5, 177.5, 0}{270, 181.5, 0})
7.21,3,({274.5, 177.5, 0}{280.5, 181.5, 0})
10.31,10,({274.5, 177.5, 0}{266.5, 171, 0})
10.7,11,({274.5, 177.5, 0}{266, 171, 0})
1.5,5,({273, 177.5, 0}{274.5, 177.5, 0})
5,8,({273, 177.5, 0}{270, 181.5, 0})
8.5,3,({273, 177.5, 0}{280.5, 181.5, 0})
9.19,10,({273, 177.5, 0}{266.5, 171, 0})
9.55,11,({273, 177.5, 0}{266, 171, 0})
12.85,13,({280.5, 201, 0}{283.5, 213.5, 0})
19.3,2,({280.5, 201, 0}{286, 182.5, 0})
19.42,1,({280.5, 201, 0}{296.5, 190, 0})
19.5,3,({280.5, 201, 0}{280.5, 181.5, 0})
20.3,0,({280.5, 201, 0}{296.5, 188.5, 0})
5,6,({270, 181.5, 0}{273, 177.5, 0})
6.02,5,({270, 181.5, 0}{274.5, 177.5, 0})
10.5,3,({270, 181.5, 0}{280.5, 181.5, 0})
11.07,10,({270, 181.5, 0}{266.5, 171, 0})
11.24,11,({270, 181.5, 0}{266, 171, 0})
6.52,17,({332.5, 198.5, 0}{336, 204, 0})
9.51,20,({332.5, 198.5, 0}{333, 208, 0})
9.71,14,({332.5, 198.5, 0}{330.5, 208, 0})
17.59,25,({332.5, 198.5, 0}{337, 215.5, 0})
19.91,12,({332.5, 198.5, 0}{320, 214, 0})
0.5,11,({266.5, 171, 0}{266, 171, 0})
7.91,23,({266.5, 171, 0}{259, 168.5, 0})
9.19,6,({266.5, 171, 0}{273, 177.5, 0})
10.31,5,({266.5, 171, 0}{274.5, 177.5, 0})
11.07,8,({266.5, 171, 0}{270, 181.5, 0})
0.5,10,({266, 171, 0}{266.5, 171, 0})
7.43,23,({266, 171, 0}{259, 168.5, 0})
9.55,6,({266, 171, 0}{273, 177.5, 0})
10.7,5,({266, 171, 0}{274.5, 177.5, 0})
11.24,8,({266, 171, 0}{270, 181.5, 0})
5.41,19,({320, 214, 0}{317, 218.5, 0})
12.09,14,({320, 214, 0}{330.5, 208, 0})
13.65,26,({320, 214, 0}{332, 220.5, 0})
14.32,20,({320, 214, 0}{333, 208, 0})
17.07,25,({320, 214, 0}{337, 215.5, 0})
12.85,7,({283.5, 213.5, 0}{280.5, 201, 0})
26.86,1,({283.5, 213.5, 0}{296.5, 190, 0})
28.18,0,({283.5, 213.5, 0}{296.5, 188.5, 0})
31.1,2,({283.5, 213.5, 0}{286, 182.5, 0})
32.14,3,({283.5, 213.5, 0}{280.5, 181.5, 0})
2.5,20,({330.5, 208, 0}{333, 208, 0})
6.8,17,({330.5, 208, 0}{336, 204, 0})
9.71,9,({330.5, 208, 0}{332.5, 198.5, 0})
9.92,25,({330.5, 208, 0}{337, 215.5, 0})
12.09,12,({330.5, 208, 0}{320, 214, 0})
12.21,30,({302, 139.5, 0}{295, 129.5, 0})
14.64,18,({302, 139.5, 0}{287.5, 141.5, 0})
14.71,16,({302, 139.5, 0}{287.5, 142, 0})
15,37,({302, 139.5, 0}{302, 124.5, 0})
17.07,4,({302, 139.5, 0}{293, 154, 0})
0.5,18,({287.5, 142, 0}{287.5, 141.5, 0})
13.2,4,({287.5, 142, 0}{293, 154, 0})
14.58,30,({287.5, 142, 0}{295, 129.5, 0})
14.71,15,({287.5, 142, 0}{302, 139.5, 0})
20.67,21,({287.5, 142, 0}{270, 153, 0})
5,20,({336, 204, 0}{333, 208, 0})
6.52,9,({336, 204, 0}{332.5, 198.5, 0})
6.8,14,({336, 204, 0}{330.5, 208, 0})
11.54,25,({336, 204, 0}{337, 215.5, 0})
16.98,26,({336, 204, 0}{332, 220.5, 0})
0.5,16,({287.5, 141.5, 0}{287.5, 142, 0})
13.66,4,({287.5, 141.5, 0}{293, 154, 0})
14.15,30,({287.5, 141.5, 0}{295, 129.5, 0})
14.64,15,({287.5, 141.5, 0}{302, 139.5, 0})
20.94,21,({287.5, 141.5, 0}{270, 153, 0})
5.41,12,({317, 218.5, 0}{320, 214, 0})
15.13,26,({317, 218.5, 0}{332, 220.5, 0})
15.89,33,({317, 218.5, 0}{310.5, 233, 0})
17,35,({317, 218.5, 0}{309, 233.5, 0})
17.1,14,({317, 218.5, 0}{330.5, 208, 0})
2.5,14,({333, 208, 0}{330.5, 208, 0})
5,17,({333, 208, 0}{336, 204, 0})
8.5,25,({333, 208, 0}{337, 215.5, 0})
9.51,9,({333, 208, 0}{332.5, 198.5, 0})
12.54,26,({333, 208, 0}{332, 220.5, 0})
12.17,31,({270, 153, 0}{258, 155, 0})
16.12,28,({270, 153, 0}{256, 161, 0})
17.92,32,({270, 153, 0}{254.5, 162, 0})
18.34,10,({270, 153, 0}{266.5, 171, 0})
18.44,11,({270, 153, 0}{266, 171, 0})
4.24,24,({258, 181, 0}{255, 184, 0})
5.7,29,({258, 181, 0}{252.5, 182.5, 0})
10.97,36,({258, 181, 0}{248, 176.5, 0})
12.01,8,({258, 181, 0}{270, 181.5, 0})
12.54,23,({258, 181, 0}{259, 168.5, 0})
7.43,11,({259, 168.5, 0}{266, 171, 0})
7.91,10,({259, 168.5, 0}{266.5, 171, 0})
7.91,32,({259, 168.5, 0}{254.5, 162, 0})
8.08,28,({259, 168.5, 0}{256, 161, 0})
12.35,38,({259, 168.5, 0}{248.5, 162, 0})
2.92,29,({255, 184, 0}{252.5, 182.5, 0})
4.24,22,({255, 184, 0}{258, 181, 0})
10.26,36,({255, 184, 0}{248, 176.5, 0})
15.21,8,({255, 184, 0}{270, 181.5, 0})
16.01,23,({255, 184, 0}{259, 168.5, 0})
7.07,26,({337, 215.5, 0}{332, 220.5, 0})
8.5,20,({337, 215.5, 0}{333, 208, 0})
9.92,14,({337, 215.5, 0}{330.5, 208, 0})
11.54,17,({337, 215.5, 0}{336, 204, 0})
17.07,12,({337, 215.5, 0}{320, 214, 0})
7.07,25,({332, 220.5, 0}{337, 215.5, 0})
12.54,20,({332, 220.5, 0}{333, 208, 0})
12.59,14,({332, 220.5, 0}{330.5, 208, 0})
13.65,12,({332, 220.5, 0}{320, 214, 0})
15.13,19,({332, 220.5, 0}{317, 218.5, 0})
