Minor_dist,Minor_link,Minor_points
0,1,({335.5, 161, 0}{335.5, 161, 0})
63.27,5,({335.5, 161, 0}{354, 221.5, 0})
63.56,6,({335.5, 161, 0}{355, 221.5, 0})
65.65,2,({335.5, 161, 0}{331, 226.5, 0})
68.72,11,({335.5, 161, 0}{330, 92.5, 0})
0,0,({335.5, 161, 0}{335.5, 161, 0})
63.27,5,({335.5, 161, 0}{354, 221.5, 0})
63.56,6,({335.5, 161, 0}{355, 221.5, 0})
65.65,2,({335.5, 161, 0}{331, 226.5, 0})
68.72,11,({335.5, 161, 0}{330, 92.5, 0})
21.54,9,({331, 226.5, 0}{351, 234.5, 0})
22.94,8,({331, 226.5, 0}{323, 248, 0})
23.54,5,({331, 226.5, 0}{354, 221.5, 0})
24.52,6,({331, 226.5, 0}{355, 221.5, 0})
65.65,1,({331, 226.5, 0}{335.5, 161, 0})
0,4,({254.5, 207, 0}{254.5, 207, 0})
40.85,10,({254.5, 207, 0}{239.5, 245, 0})
41.53,15,({254.5, 207, 0}{213, 208.5, 0})
53.06,16,({254.5, 207, 0}{252, 260, 0})
62.1,14,({254.5, 207, 0}{268.5, 267.5, 0})
0,3,({254.5, 207, 0}{254.5, 207, 0})
40.85,10,({254.5, 207, 0}{239.5, 245, 0})
41.53,15,({254.5, 207, 0}{213, 208.5, 0})
53.06,16,({254.5, 207, 0}{252, 260, 0})
62.1,14,({254.5, 207, 0}{268.5, 267.5, 0})
1,6,({354, 221.5, 0}{355, 221.5, 0})
13.34,9,({354, 221.5, 0}{351, 234.5, 0})
23.54,2,({354, 221.5, 0}{331, 226.5, 0})
40.78,8,({354, 221.5, 0}{323, 248, 0})
63.27,1,({354, 221.5, 0}{335.5, 161, 0})
1,5,({355, 221.5, 0}{354, 221.5, 0})
13.6,9,({355, 221.5, 0}{351, 234.5, 0})
24.52,2,({355, 221.5, 0}{331, 226.5, 0})
41.55,8,({355, 221.5, 0}{323, 248, 0})
63.56,1,({355, 221.5, 0}{335.5, 161, 0})
62.86,11,({273, 119, 0}{330, 92.5, 0})
63.29,12,({273, 119, 0}{330, 91.5, 0})
75.3,1,({273, 119, 0}{335.5, 161, 0})
75.3,0,({273, 119, 0}{335.5, 161, 0})
89.92,4,({273, 119, 0}{254.5, 207, 0})
22.94,2,({323, 248, 0}{331, 226.5, 0})
31.08,9,({323, 248, 0}{351, 234.5, 0})
40.78,5,({323, 248, 0}{354, 221.5, 0})
41.55,6,({323, 248, 0}{355, 221.5, 0})
56.65,13,({323, 248, 0}{270, 268, 0})
13.34,5,({351, 234.5, 0}{354, 221.5, 0})
13.6,6,({351, 234.5, 0}{355, 221.5, 0})
21.54,2,({351, 234.5, 0}{331, 226.5, 0})
31.08,8,({351, 234.5, 0}{323, 248, 0})
75.12,1,({351, 234.5, 0}{335.5, 161, 0})
19.53,16,({239.5, 245, 0}{252, 260, 0})
36.7,14,({239.5, 245, 0}{268.5, 267.5, 0})
38.2,13,({239.5, 245, 0}{270, 268, 0})
40.85,4,({239.5, 245, 0}{254.5, 207, 0})
40.85,3,({239.5, 245, 0}{254.5, 207, 0})
1,12,({330, 92.5, 0}{330, 91.5, 0})
62.86,7,({330, 92.5, 0}{273, 119, 0})
68.72,1,({330, 92.5, 0}{335.5, 161, 0})
68.72,0,({330, 92.5, 0}{335.5, 161, 0})
131.21,5,({330, 92.5, 0}{354, 221.5, 0})
1,11,({330, 91.5, 0}{330, 92.5, 0})
63.29,7,({330, 91.5, 0}{273, 119, 0})
69.72,1,({330, 91.5, 0}{335.5, 161, 0})
69.72,0,({330, 91.5, 0}{335.5, 161, 0})
132.2,5,({330, 91.5, 0}{354, 221.5, 0})
1.58,14,({270, 268, 0}{268.5, 267.5, 0})
19.7,16,({270, 268, 0}{252, 260, 0})
38.2,10,({270, 268, 0}{239.5, 245, 0})
56.65,8,({270, 268, 0}{323, 248, 0})
62.94,4,({270, 268, 0}{254.5, 207, 0})
1.58,13,({268.5, 267.5, 0}{270, 268, 0})
18.12,16,({268.5, 267.5, 0}{252, 260, 0})
36.7,10,({268.5, 267.5, 0}{239.5, 245, 0})
57.88,8,({268.5, 267.5, 0}{323, 248, 0})
62.1,4,({268.5, 267.5, 0}{254.5, 207, 0})
41.53,4,({213, 208.5, 0}{254.5, 207, 0})
41.53,3,({213, 208.5, 0}{254.5, 207, 0})
45.11,10,({213, 208.5, 0}{239.5, 245, 0})
64.6,16,({213, 208.5, 0}{252, 260, 0})
