Major_dist,Major_link,Major_points
14.08,1,({267, 232, 0}{265.5, 246, 0})
19.5,3,({267, 232, 0}{285, 224.5, 0})
26.46,2,({267, 232, 0}{242.5, 242, 0})
29.12,4,({267, 232, 0}{273, 260.5, 0})
32.2,5,({267, 232, 0}{293, 213, 0})
14.08,0,({265.5, 246, 0}{267, 232, 0})
16.32,4,({265.5, 246, 0}{273, 260.5, 0})
23.35,2,({265.5, 246, 0}{242.5, 242, 0})
29.03,3,({265.5, 246, 0}{285, 224.5, 0})
29.82,7,({265.5, 246, 0}{282.5, 270.5, 0})
21.95,17,({242.5, 242, 0}{223.5, 253, 0})
23.35,1,({242.5, 242, 0}{265.5, 246, 0})
24.44,21,({242.5, 242, 0}{221.5, 254.5, 0})
26.46,0,({242.5, 242, 0}{267, 232, 0})
29.54,22,({242.5, 242, 0}{226, 266.5, 0})
14.01,5,({285, 224.5, 0}{293, 213, 0})
19.5,0,({285, 224.5, 0}{267, 232, 0})
27.97,6,({285, 224.5, 0}{273.5, 199, 0})
29.03,1,({285, 224.5, 0}{265.5, 246, 0})
29.55,8,({285, 224.5, 0}{273, 197.5, 0})
13.79,7,({273, 260.5, 0}{282.5, 270.5, 0})
16.32,1,({273, 260.5, 0}{265.5, 246, 0})
17.36,15,({273, 260.5, 0}{276.5, 277.5, 0})
17.92,18,({273, 260.5, 0}{280, 277, 0})
27.17,9,({273, 260.5, 0}{299.5, 254.5, 0})
14.01,3,({293, 213, 0}{285, 224.5, 0})
23.35,12,({293, 213, 0}{277, 196, 0})
24.01,6,({293, 213, 0}{273.5, 199, 0})
25.3,8,({293, 213, 0}{273, 197.5, 0})
32.2,0,({293, 213, 0}{267, 232, 0})
1.58,8,({273.5, 199, 0}{273, 197.5, 0})
4.61,12,({273.5, 199, 0}{277, 196, 0})
10.97,20,({273.5, 199, 0}{266, 191, 0})
24.01,5,({273.5, 199, 0}{293, 213, 0})
24.13,11,({273.5, 199, 0}{249.5, 196.5, 0})
6.96,18,({282.5, 270.5, 0}{280, 277, 0})
9.22,15,({282.5, 270.5, 0}{276.5, 277.5, 0})
13.79,4,({282.5, 270.5, 0}{273, 260.5, 0})
17.46,28,({282.5, 270.5, 0}{289.5, 286.5, 0})
20.99,30,({282.5, 270.5, 0}{278, 291, 0})
1.58,6,({273, 197.5, 0}{273.5, 199, 0})
4.27,12,({273, 197.5, 0}{277, 196, 0})
