Minor_dist,Minor_link,Minor_points
83.72,3,({296, 260, 0}{376.5, 237, 0})
91.64,1,({296, 260, 0}{204.5, 265, 0})
110.86,4,({296, 260, 0}{404, 285, 0})
134.95,2,({296, 260, 0}{192, 174, 0})
204.46,5,({296, 260, 0}{345, 61.5, 0})
91.64,0,({204.5, 265, 0}{296, 260, 0})
91.85,2,({204.5, 265, 0}{192, 174, 0})
174.26,3,({204.5, 265, 0}{376.5, 237, 0})
200.5,4,({204.5, 265, 0}{404, 285, 0})
247.29,5,({204.5, 265, 0}{345, 61.5, 0})
91.85,1,({192, 174, 0}{204.5, 265, 0})
134.95,0,({192, 174, 0}{296, 260, 0})
189.91,5,({192, 174, 0}{345, 61.5, 0})
194.96,3,({192, 174, 0}{376.5, 237, 0})
239.3,4,({192, 174, 0}{404, 285, 0})
55.32,4,({376.5, 237, 0}{404, 285, 0})
83.72,0,({376.5, 237, 0}{296, 260, 0})
174.26,1,({376.5, 237, 0}{204.5, 265, 0})
178.3,5,({376.5, 237, 0}{345, 61.5, 0})
194.96,2,({376.5, 237, 0}{192, 174, 0})
55.32,3,({404, 285, 0}{376.5, 237, 0})
110.86,0,({404, 285, 0}{296, 260, 0})
200.5,1,({404, 285, 0}{204.5, 265, 0})
231.16,5,({404, 285, 0}{345, 61.5, 0})
239.3,2,({404, 285, 0}{192, 174, 0})
178.3,3,({345, 61.5, 0}{376.5, 237, 0})
189.91,2,({345, 61.5, 0}{192, 174, 0})
204.46,0,({345, 61.5, 0}{296, 260, 0})
231.16,4,({345, 61.5, 0}{404, 285, 0})
247.29,1,({345, 61.5, 0}{204.5, 265, 0})
22.59,5,({235, 166.5, 0}{212.5, 168.5, 0})
82,7,({235, 166.5, 0}{217, 246.5, 0})
84.02,2,({235, 166.5, 0}{237, 250.5, 0})
99.79,11,({235, 166.5, 0}{201.5, 260.5, 0})
100.58,1,({235, 166.5, 0}{265, 262.5, 0})
4.74,3,({265, 262.5, 0}{260.5, 264, 0})
30.46,2,({265, 262.5, 0}{237, 250.5, 0})
47.54,4,({265, 262.5, 0}{312.5, 260.5, 0})
49.51,6,({265, 262.5, 0}{314.5, 261.5, 0})
50.6,7,({265, 262.5, 0}{217, 246.5, 0})
20.4,7,({237, 250.5, 0}{217, 246.5, 0})
27.1,3,({237, 250.5, 0}{260.5, 264, 0})
30.46,1,({237, 250.5, 0}{265, 262.5, 0})
36.88,11,({237, 250.5, 0}{201.5, 260.5, 0})
37.34,12,({237, 250.5, 0}{203.5, 267, 0})
4.74,1,({260.5, 264, 0}{265, 262.5, 0})
27.1,2,({260.5, 264, 0}{237, 250.5, 0})
46.89,7,({260.5, 264, 0}{217, 246.5, 0})
52.12,4,({260.5, 264, 0}{312.5, 260.5, 0})
54.06,6,({260.5, 264, 0}{314.5, 261.5, 0})
2.24,6,({312.5, 260.5, 0}{314.5, 261.5, 0})
21.87,8,({312.5, 260.5, 0}{334, 256.5, 0})
47.54,1,({312.5, 260.5, 0}{265, 262.5, 0})
51.52,14,({312.5, 260.5, 0}{364, 259, 0})
52.12,3,({312.5, 260.5, 0}{260.5, 264, 0})
22.59,0,({212.5, 168.5, 0}{235, 166.5, 0})
78.13,7,({212.5, 168.5, 0}{217, 246.5, 0})
85.58,2,({212.5, 168.5, 0}{237, 250.5, 0})
92.66,11,({212.5, 168.5, 0}{201.5, 260.5, 0})
98.91,12,({212.5, 168.5, 0}{203.5, 267, 0})
2.24,4,({314.5, 261.5, 0}{312.5, 260.5, 0})
20.13,8,({314.5, 261.5, 0}{334, 256.5, 0})
49.51,1,({314.5, 261.5, 0}{265, 262.5, 0})
49.56,14,({314.5, 261.5, 0}{364, 259, 0})
54.06,3,({314.5, 261.5, 0}{260.5, 264, 0})
20.4,2,({217, 246.5, 0}{237, 250.5, 0})
20.89,11,({217, 246.5, 0}{201.5, 260.5, 0})
24.55,12,({217, 246.5, 0}{203.5, 267, 0})
27.06,13,({217, 246.5, 0}{204.5, 270.5, 0})
46.89,3,({217, 246.5, 0}{260.5, 264, 0})
20.13,6,({334, 256.5, 0}{314.5, 261.5, 0})
21.87,4,({334, 256.5, 0}{312.5, 260.5, 0})
30.1,14,({334, 256.5, 0}{364, 259, 0})
69.26,1,({334, 256.5, 0}{265, 262.5, 0})
73.88,3,({334, 256.5, 0}{260.5, 264, 0})
8.49,10,({348.5, 145.5, 0}{354.5, 139.5, 0})
111.94,8,({348.5, 145.5, 0}{334, 256.5, 0})
114.55,14,({348.5, 145.5, 0}{364, 259, 0})
115.43,0,({348.5, 145.5, 0}{235, 166.5, 0})
120.5,4,({348.5, 145.5, 0}{312.5, 260.5, 0})
8.49,9,({354.5, 139.5, 0}{348.5, 145.5, 0})
118.78,8,({354.5, 139.5, 0}{334, 256.5, 0})
119.88,14,({354.5, 139.5, 0}{364, 259, 0})
122.51,0,({354.5, 139.5, 0}{235, 166.5, 0})
128.08,4,({354.5, 139.5, 0}{312.5, 260.5, 0})
6.8,12,({201.5, 260.5, 0}{203.5, 267, 0})
10.44,13,({201.5, 260.5, 0}{204.5, 270.5, 0})
20.89,7,({201.5, 260.5, 0}{217, 246.5, 0})
36.88,2,({201.5, 260.5, 0}{237, 250.5, 0})
59.1,3,({201.5, 260.5, 0}{260.5, 264, 0})
3.64,13,({203.5, 267, 0}{204.5, 270.5, 0})
6.8,11,({203.5, 267, 0}{201.5, 260.5, 0})
24.55,7,({203.5, 267, 0}{217, 246.5, 0})
37.34,2,({203.5, 267, 0}{237, 250.5, 0})
57.08,3,({203.5, 267, 0}{260.5, 264, 0})
3.64,12,({204.5, 270.5, 0}{203.5, 267, 0})
10.44,11,({204.5, 270.5, 0}{201.5, 260.5, 0})
27.06,7,({204.5, 270.5, 0}{217, 246.5, 0})
38.16,2,({204.5, 270.5, 0}{237, 250.5, 0})
56.38,3,({204.5, 270.5, 0}{260.5, 264, 0})
30.1,8,({364, 259, 0}{334, 256.5, 0})
49.56,6,({364, 259, 0}{314.5, 261.5, 0})
51.52,4,({364, 259, 0}{312.5, 260.5, 0})
99.06,1,({364, 259, 0}{265, 262.5, 0})
103.62,3,({364, 259, 0}{260.5, 264, 0})
24.75,1,({203, 201.5, 0}{220.5, 184, 0})
34.53,4,({203, 201.5, 0}{204.5, 167, 0})
48.28,3,({203, 201.5, 0}{220.5, 246.5, 0})
48.39,2,({203, 201.5, 0}{222, 246, 0})
59.01,5,({203, 201.5, 0}{204, 260.5, 0})
23.35,4,({220.5, 184, 0}{204.5, 167, 0})
24.75,0,({220.5, 184, 0}{203, 201.5, 0})
59.02,10,({220.5, 184, 0}{279.5, 185.5, 0})
62.02,2,({220.5, 184, 0}{222, 246, 0})
62.5,3,({220.5, 184, 0}{220.5, 246.5, 0})
1.58,3,({222, 246, 0}{220.5, 246.5, 0})
23.11,5,({222, 246, 0}{204, 260.5, 0})
27.95,8,({222, 246, 0}{203, 266.5, 0})
27.99,9,({222, 246, 0}{203.5, 267, 0})
31.1,11,({222, 246, 0}{203.5, 271, 0})
1.58,2,({220.5, 246.5, 0}{222, 246, 0})
21.64,5,({220.5, 246.5, 0}{204, 260.5, 0})
26.58,8,({220.5, 246.5, 0}{203, 266.5, 0})
26.63,9,({220.5, 246.5, 0}{203.5, 267, 0})
29.82,11,({220.5, 246.5, 0}{203.5, 271, 0})
23.35,1,({204.5, 167, 0}{220.5, 184, 0})
34.53,0,({204.5, 167, 0}{203, 201.5, 0})
77.25,10,({204.5, 167, 0}{279.5, 185.5, 0})
80.92,2,({204.5, 167, 0}{222, 246, 0})
81.09,3,({204.5, 167, 0}{220.5, 246.5, 0})
6.08,8,({204, 260.5, 0}{203, 266.5, 0})
6.52,9,({204, 260.5, 0}{203.5, 267, 0})
10.51,11,({204, 260.5, 0}{203.5, 271, 0})
13.01,12,({204, 260.5, 0}{204.5, 273.5, 0})
21.64,3,({204, 260.5, 0}{220.5, 246.5, 0})
3.2,7,({275.5, 221.5, 0}{277.5, 219, 0})
36.22,10,({275.5, 221.5, 0}{279.5, 185.5, 0})
58.84,2,({275.5, 221.5, 0}{222, 246, 0})
60.42,3,({275.5, 221.5, 0}{220.5, 246.5, 0})
66.57,1,({275.5, 221.5, 0}{220.5, 184, 0})
3.2,6,({277.5, 219, 0}{275.5, 221.5, 0})
33.56,10,({277.5, 219, 0}{279.5, 185.5, 0})
61.72,2,({277.5, 219, 0}{222, 246, 0})
63.29,3,({277.5, 219, 0}{220.5, 246.5, 0})
66.89,1,({277.5, 219, 0}{220.5, 184, 0})
0.71,9,({203, 266.5, 0}{203.5, 267, 0})
4.53,11,({203, 266.5, 0}{203.5, 271, 0})
6.08,5,({203, 266.5, 0}{204, 260.5, 0})
7.16,12,({203, 266.5, 0}{204.5, 273.5, 0})
20.01,14,({203, 266.5, 0}{203.5, 286.5, 0})
0.71,8,({203.5, 267, 0}{203, 266.5, 0})
4,11,({203.5, 267, 0}{203.5, 271, 0})
6.52,5,({203.5, 267, 0}{204, 260.5, 0})
6.58,12,({203.5, 267, 0}{204.5, 273.5, 0})
19.5,14,({203.5, 267, 0}{203.5, 286.5, 0})
33.56,7,({279.5, 185.5, 0}{277.5, 219, 0})
36.22,6,({279.5, 185.5, 0}{275.5, 221.5, 0})
59.02,1,({279.5, 185.5, 0}{220.5, 184, 0})
77.25,4,({279.5, 185.5, 0}{204.5, 167, 0})
78.16,0,({279.5, 185.5, 0}{203, 201.5, 0})
2.69,12,({203.5, 271, 0}{204.5, 273.5, 0})
4,9,({203.5, 271, 0}{203.5, 267, 0})
4.53,8,({203.5, 271, 0}{203, 266.5, 0})
10.51,5,({203.5, 271, 0}{204, 260.5, 0})
15.5,14,({203.5, 271, 0}{203.5, 286.5, 0})
2.69,11,({204.5, 273.5, 0}{203.5, 271, 0})
6.58,9,({204.5, 273.5, 0}{203.5, 267, 0})
7.16,8,({204.5, 273.5, 0}{203, 266.5, 0})
13.01,5,({204.5, 273.5, 0}{204, 260.5, 0})
13.04,14,({204.5, 273.5, 0}{203.5, 286.5, 0})
6.58,15,({146.5, 229, 0}{145.5, 235.5, 0})
10.05,16,({146.5, 229, 0}{145.5, 239, 0})
62.84,0,({146.5, 229, 0}{203, 201.5, 0})
65.56,5,({146.5, 229, 0}{204, 260.5, 0})
67.81,8,({146.5, 229, 0}{203, 266.5, 0})
