A1,A2,A3,B1,B2,B3,C1,C2,C3
185940204.46,-166055430.67,1150279700.46,234482915.94,-133788647.73,1152067447.45,462292135.17,-847685716.18,1168692862.09
A1,A2,A3,B1,B2,B3,C1,C2,C3
186772296.63,-170855933.70,1158721551.68,239680238.04,-139893419.91,1160710089.84,462732330.95,-845190934.05,1177048368.48
A1,A2,A3,B1,B2,B3,C1,C2,C3
189431644.90,-174797921.87,1167260376.67,243184697.34,-147209532.74,1169317496.33,463058478.13,-842369774.21,1185422137.00
A1,A2,A3,B1,B2,B3,C1,C2,C3
194012473.21,-177965310.51,1175901040.22,244904274.15,-155658944.01,1177884953.14,463268372.44,-839216363.55,1193814016.64
A1,A2,A3,B1,B2,B3,C1,C2,C3
200755201.45,-180398758.40,1184654304.42,244600909.16,-165207332.44,1186401860.37,463359653.30,-835724364.59,1202223845.21
A1,A2,A3,B1,B2,B3,C1,C2,C3
210193611.43,-182124683.45,1193543455.70,241743370.90,-175835107.71,1194845106.63,463329770.38,-831886949.70,1210651447.67
A1,A2,A3,B1,B2,B3,C1,C2,C3
223863809.53,-183407892.12,1202637303.80,234798330.19,-187284785.24,1203146071.71,463175946.48,-827696797.04,1219096634.49
A1,A2,A3,B1,B2,B3,C1,C2,C3
242262455.64,-190534561.29,1212017106.86,223272149.86,-193277947.08,1211223701.76,462895158.88,-823146147.66,1227559201.38
A1,A2,A3,B1,B2,B3,C1,C2,C3
255141932.49,-201377635.58,1221220392.90,217415566.13,-195949783.23,1219540680.78,462484288.60,-818226866.93,1236038936.32
A1,A2,A3,B1,B2,B3,C1,C2,C3
264652705.93,-212034973.52,1230302827.41,215081259.09,-199211176.16,1228041562.22,461940189.76,-812930213.86,1244535620.37
A1,A2,A3,B1,B2,B3,C1,C2,C3
271802547.57,-222300037.53,1239305934.49,215264806.40,-203278149.54,1236685056.82,461259513.03,-807246702.37,1253049018.69
A1,A2,A3,B1,B2,B3,C1,C2,C3
276989193.14,-232111281.79,1248246292.43,217572141.75,-208222529.67,1245454842.47,460438589.03,-801166051.98,1261578875.10
A1,A2,A3,B1,B2,B3,C1,C2,C3
280389518.92,-241408079.11,1257130957.22,221830465.10,-214116076.75,1254344145.05,459473341.49,-794677129.65,1270124907.73
A1,A2,A3,B1,B2,B3,C1,C2,C3
282056019.09,-250099056.72,1265961324.64,227991844.12,-221062219.58,1263351880.38,458359208.60,-787767879.39,1278686804.98
A1,A2,A3,B1,B2,B3,C1,C2,C3
281937719.00,-258030462.63,1274733731.65,236112375.06,-229227773.22,1272482056.85,457091068.71,-780425238.10,1287264221.49
A1,A2,A3,B1,B2,B3,C1,C2,C3
279854303.18,-264914635.99,1283437659.23,246378120.52,-238914569.63,1281745576.38,455663174.75,-772635034.69,1295856774.39
A1,A2,A3,B1,B2,B3,C1,C2,C3
275388102.53,-270078102.17,1292048673.72,259213163.29,-250811488.87,1291167296.01,454069112.96,-764381863.72,1304464040.27
A1,A2,A3,B1,B2,B3,C1,C2,C3
268205162.86,-270476694.82,1300523392.39,274958507.89,-267979518.55,1300791062.82,452301833.06,-755648903.93,1313085554.79
A1,A2,A3,B1,B2,B3,C1,C2,C3
267550122.44,-266872192.48,1309268011.01,284377030.85,-289675564.93,1310211183.17,450353820.23,-746417470.51,1321720815.82
A1,A2,A3,B1,B2,B3,C1,C2,C3
270568909.27,-267220280.65,1318235077.95,290331063.46,-307965331.90,1319475668.69,448216815.20,-736666174.10,1330369263.36
A1,A2,A3,B1,B2,B3,C1,C2,C3
275033788.98,-270483329.64,1327318581.79,295057938.62,-323910757.36,1328691176.36,445881219.42,-726370706.46,1339030251.85
A1,A2,A3,B1,B2,B3,C1,C2,C3
280438982.91,-276196261.77,1336492269.91,299074561.37,-338004356.17,1337884700.10,443335906.50,-715503630.42,1347703039.99
A1,A2,A3,B1,B2,B3,C1,C2,C3
286558158.80,-284164536.81,1345744523.65,302620118.66,-350471734.74,1347068708.96,440568021.78,-704033879.81,1356386777.38
A1,A2,A3,B1,B2,B3,C1,C2,C3
293259272.99,-294333389.61,1355069123.58,305841517.03,-361403077.55,1356250400.88,437562702.37,-691926035.29,1365080485.53
A1,A2,A3,B1,B2,B3,C1,C2,C3
300448506.44,-306752925.92,1364462497.87,308849819.64,-370789057.60,1365434479.96,434302704.14,-679139318.10,1373783032.17
A1,A2,A3,B1,B2,B3,C1,C2,C3
308040749.05,-321587086.98,1373922533.89,311750258.88,-378513290.31,1374624379.80,430767904.81,-665626171.61,1382493096.31
A1,A2,A3,B1,B2,B3,C1,C2,C3
315923625.03,-339175270.47,1383447612.19,314678891.96,-384292785.53,1383823278.67,426934622.94,-651330188.25,1391209119.14
A1,A2,A3,B1,B2,B3,C1,C2,C3
323841191.79,-360244452.79,1393033606.41,317919905.09,-387469030.51,1393037173.36,422774614.95,-636182904.41,1399929230.24
A1,A2,A3,B1,B2,B3,C1,C2,C3
330099704.02,-386852322.91,1402627007.27,323201622.15,-386070267.88,1402321883.19,418253302.23,-620098388.46,1408651119.54
A1,A2,A3,B1,B2,B3,C1,C2,C3
328860566.28,-412615107.60,1411915100.69,336408699.75,-386593427.08,1411993186.96,413324623.63,-602963484.21,1417371722.35
A1,A2,A3,B1,B2,B3,C1,C2,C3
328451737.94,-433436332.31,1421218287.24,349283628.98,-393286898.88,1421735170.18,407918128.68,-584626275.42,1426086552.57
A1,A2,A3,B1,B2,B3,C1,C2,C3
329798549.95,-452245547.44,1430604379.37,361012186.02,-403429691.24,1431486800.12,401922710.25,-564878203.76,1434788830.52
A1,A2,A3,B1,B2,B3,C1,C2,C3
332983061.53,-469956324.80,1440085612.82,371702077.17,-416415100.33,1441246950.81,395148602.85,-543412401.21,1443467446.38
A1,A2,A3,B1,B2,B3,C1,C2,C3
338352689.96,-487110483.96,1449682136.80,381393369.33,-432186838.29,1451016815.71,387208322.25,-519743336.10,1452101057.49
A1,A2,A3,B1,B2,B3,C1,C2,C3
347043225.98,-503871782.47,1459444524.30,389950066.88,-451184322.68,1460794708.08,377102073.37,-493267833.30,1460640777.62
A1,A2,A3,B1,B2,B3,C1,C2,C3
360187098.90,-517833298.89,1469398737.12,395762302.56,-474436231.27,1470520944.93,365307294.14,-465364136.47,1469120327.95
A1,A2,A3,B1,B2,B3,C1,C2,C3
375587263.30,-527310224.97,1479433927.83,396550273.11,-499479393.11,1480073699.59,356300833.26,-440180224.83,1477772382.58
A1,A2,A3,B1,B2,B3,C1,C2,C3
393319607.56,-531471532.04,1489545461.71,393480811.65,-526776252.70,1489507728.30,348839969.19,-418084682.53,1486546819.99
A1,A2,A3,B1,B2,B3,C1,C2,C3
405574021.18,-529453128.91,1499388064.85,395037015.85,-558151153.63,1499206486.55,342251714.80,-398117257.18,1495405458.60
A1,A2,A3,B1,B2,B3,C1,C2,C3
414416263.39,-531440050.72,1509147828.41,399365043.20,-583942058.96,1508998005.93,336324153.36,-379754950.59,1504334175.66
A1,A2,A3,B1,B2,B3,C1,C2,C3
422161075.83,-535248494.49,1518903860.36,404258208.92,-606630625.78,1518810676.41,330949228.00,-362699908.65,1513325473.24
A1,A2,A3,B1,B2,B3,C1,C2,C3
429119272.35,-540301974.34,1528664086.85,409479097.36,-626984607.66,1528641559.66,326053540.53,-346760863.66,1522374363.49
A1,A2,A3,B1,B2,B3,C1,C2,C3
435443087.03,-546354156.51,1538432732.90,414930079.50,-645384124.22,1538490060.44,321582485.88,-331804029.74,1531477216.67
A1,A2,A3,B1,B2,B3,C1,C2,C3
441228751.43,-553278667.04,1548212748.49,420557456.98,-662054585.45,1548356006.79,317493530.86,-317730370.90,1540631254.72
A1,A2,A3,B1,B2,B3,C1,C2,C3
446544909.64,-561007509.48,1558006448.74,426326742.44,-677140335.00,1558239284.25,313752518.73,-304463539.92,1549834277.01
A1,A2,A3,B1,B2,B3,C1,C2,C3
451444210.30,-569506844.77,1567815783.56,432213345.87,-690735891.99,1568139731.27,310331390.87,-291942856.74,1559084495.17
A1,A2,A3,B1,B2,B3,C1,C2,C3
455969161.73,-578766079.74,1577642486.55,438198219.84,-702901238.19,1578057096.75,307206686.39,-280118932.76,1568380426.70
A1,A2,A3,B1,B2,B3,C1,C2,C3
460155568.25,-588792883.61,1587488175.80,444265456.39,-713669674.62,1587991011.13,304358508.92,-268950797.74,1577720823.07
A1,A2,A3,B1,B2,B3,C1,C2,C3
464034838.60,-599611466.72,1597354437.16,450400713.96,-723051509.57,1597940953.62,301769791.28,-258403933.05,1587104619.23
A1,A2,A3,B1,B2,B3,C1,C2,C3
467635802.56,-611263207.53,1607242908.57,456589937.41,-731034824.10,1607906204.22,299425758.85,-248448879.18,1596530897.20
A1,A2,A3,B1,B2,B3,C1,C2,C3
470986474.18,-623809640.77,1617155384.65,462817993.88,-737583497.72,1617885766.10,297313530.42,-239060221.88,1605998859.25
A1,A2,A3,B1,B2,B3,C1,C2,C3
474116261.27,-637338697.55,1627093971.37,469066763.87,-742631723.74,1627878230.98,295421817.68,-230215836.72,1615507807.66
A1,A2,A3,B1,B2,B3,C1,C2,C3
477059544.51,-651976591.79,1637061353.69,475311789.39,-746072696.54,1637881526.81,293740697.95,-221896315.41,1625057129.50
A1,A2,A3,B1,B2,B3,C1,C2,C3
479862987.59,-667911412.35,1647061335.55,481515134.17,-747735461.61,1647892389.36,292261443.80,-214084523.62,1634646285.09
A1,A2,A3,B1,B2,B3,C1,C2,C3
482604454.70,-685445875.26,1657100158.35,487606588.97,-747332507.27,1657905052.29,290976400.30,-206765256.97,1644274799.37
A1,A2,A3,B1,B2,B3,C1,C2,C3
485461201.96,-705144301.47,1667190842.58,493415557.93,-744313054.01,1667906911.38,289878907.16,-199924974.03,1653942256.04
A1,A2,A3,B1,B2,B3,C1,C2,C3
489229155.20,-728463161.88,1677381598.41,498151803.80,-737232708.42,1677850116.91,288963275.83,-193551597.31,1663648294.68
A1,A2,A3,B1,B2,B3,C1,C2,C3
499893510.95,-753333709.03,1687911022.87,495834768.13,-728170912.28,1687496373.79,288224868.21,-187634432.50,1673392613.34
A1,A2,A3,B1,B2,B3,C1,C2,C3
511766787.75,-772035441.52,1698460193.60,492155583.93,-724857219.99,1697164848.11,287660032.74,-182164426.59,1683174968.30
A1,A2,A3,B1,B2,B3,C1,C2,C3
522496499.35,-787759419.75,1708957962.80,489469994.33,-724108105.05,1706926899.92,287265512.58,-177134045.67,1692995147.28
A1,A2,A3,B1,B2,B3,C1,C2,C3
532223603.41,-801455636.99,1719419455.34,487640084.85,-724980089.23,1716767597.69,287038264.52,-172536774.73,1702852956.97
A1,A2,A3,B1,B2,B3,C1,C2,C3
541054381.06,-813529818.91,1729853119.35,486562389.90,-727073198.80,1726678669.54,286975473.02,-168366861.80,1712748221.11
A1,A2,A3,B1,B2,B3,C1,C2,C3
549056598.93,-824205712.84,1740264008.86,486171721.25,-730168819.39,1736655221.56,287074559.68,-164619173.93,1722680779.59
A1,A2,A3,B1,B2,B3,C1,C2,C3
556272837.51,-833621789.48,1750655279.34,486427836.66,-734133088.39,1746694243.03,287333186.26,-161289103.04,1732650487.63
A1,A2,A3,B1,B2,B3,C1,C2,C3
562728215.48,-841868454.01,1761028875.25,487307716.80,-738879749.66,1756793919.59,287749253.42,-158372500.07,1742657215.16
A1,A2,A3,B1,B2,B3,C1,C2,C3
