density points - x,y,z
{-91.328606, -91.328606, 5.11267}
{-78.063905, -91.042857, 5.034053}
{-68.890758, -90.620965, 5.031327}
{-59.740404, -90.131782, 5.030175}
{-50.601691, -89.569048, 5.030662}
{-41.461686, -88.932916, 5.03273}
{-32.306648, -88.237709, 5.036072}
{-23.123601, -87.524962, 5.039853}
{-13.902517, -86.882828, 5.04216}
{-4.6386, -86.467243, 5.04017}
{4.6386, -86.467243, 5.04017}
{13.902517, -86.882828, 5.04216}
{23.123601, -87.524962, 5.039853}
{32.306648, -88.237709, 5.036072}
{41.461699, -88.93287, 5.032738}
{50.601703, -89.568914, 5.030679}
{59.740455, -90.131446, 5.030213}
{68.890829, -90.620229, 5.031419}
{78.063969, -91.041691, 5.034215}
{91.328949, -91.32652, 5.112931}
{-91.293859, -91.293859, 5.15115}
{-78.001394, -91.004683, 5.046158}
{-68.838501, -90.57671, 5.042884}
{-59.697759, -90.079916, 5.04184}
{-50.567873, -89.507648, 5.043176}
{-41.435802, -88.859666, 5.046908}
{-32.287755, -88.15009, 5.05275}
{-23.11079, -87.420887, 5.059753}
{-13.895055, -86.76227, 5.065554}
{-4.636125, -86.335322, 5.066174}
{4.636125, -86.335322, 5.066174}
{13.895055, -86.76227, 5.065554}
{23.11079, -87.420887, 5.059753}
{32.287755, -88.15009, 5.05275}
{41.435802, -88.859666, 5.046908}
{50.567883, -89.507615, 5.043181}
{59.69776, -90.079842, 5.041852}
{68.838521, -90.576572, 5.042906}
{78.001409, -91.004429, 5.046202}
{91.293902, -91.293464, 5.151216}
{-91.305135, -91.305135, 5.138709}
{-78.021645, -91.017063, 5.042247}
{-68.855424, -90.591072, 5.039146}
{-59.711564, -90.096762, 5.038062}
{-50.578818, -89.527611, 5.039118}
{-41.444178, -88.883509, 5.042306}
{-32.29387, -88.178649, 5.047333}
{-23.114939, -87.454859, 5.053286}
{-13.897473, -86.801678, 5.057949}
{-4.636928, -86.378486, 5.05772}
{4.636928, -86.378486, 5.05772}
{13.897473, -86.801678, 5.057949}
{23.114939, -87.454859, 5.053286}
{32.29387, -88.178649, 5.047333}
{41.444178, -88.883509, 5.042306}
{50.578818, -89.527611, 5.039118}
{59.711567, -90.096752, 5.038063}
{68.855423, -90.591051, 5.039149}
{78.02165, -91.017028, 5.042253}
{91.305137, -91.305082, 5.138717}
{-91.282136, -91.282136, 5.164036}
{-77.980378, -90.991823, 5.050205}
{-68.820946, -90.56178, 5.046758}
{-59.683442, -90.06239, 5.04576}
{-50.556525, -89.486859, 5.047391}
{-41.427118, -88.834807, 5.051692}
{-32.281415, -88.120275, 5.058386}
{-23.106487, -87.38537, 5.066484}
{-13.892543, -86.721012, 5.073472}
{-4.63529, -86.290092, 5.074976}
{4.63529, -86.290092, 5.074976}
{13.892543, -86.721012, 5.073472}
{23.106487, -87.38537, 5.066484}
{32.281415, -88.120275, 5.058386}
{41.427118, -88.834807, 5.051692}
{50.556525, -89.486859, 5.047391}
{59.683442, -90.06239, 5.04576}
{68.820947, -90.561779, 5.046759}
{77.980378, -90.991819, 5.050206}
{91.282136, -91.282132, 5.164036}
{-91.326227, -91.326227, 5.115319}
{-78.059614, -91.040241, 5.034887}
{-68.887169, -90.617934, 5.032122}
{-59.737474, -90.128234, 5.030976}
{-50.599367, -89.564855, 5.03152}
{-41.459906, -88.927921, 5.033701}
{-32.30535, -88.231745, 5.037213}
{-23.122721, -87.517892, 5.041213}
{-13.902005, -86.874655, 5.043758}
{-4.63843, -86.458312, 5.041946}
{4.63843, -86.458312, 5.041946}
{13.902005, -86.874655, 5.043758}
{23.122721, -87.517892, 5.041213}
{32.30535, -88.231745, 5.037213}
{41.459906, -88.927921, 5.033701}
{50.599367, -89.564855, 5.03152}
{59.737474, -90.128234, 5.030976}
{68.887169, -90.617934, 5.032122}
{78.059614, -91.040241, 5.034887}
{91.326227, -91.326227, 5.115319}
{-91.32715, -91.32715, 5.114292}
{-78.061278, -91.041255, 5.034564}
{-68.88856, -90.61911, 5.031813}
{-59.73861, -90.12961, 5.030665}
{-50.600268, -89.566481, 5.031187}
{-41.460596, -88.929858, 5.033324}
{-32.305853, -88.234059, 5.03677}
{-23.123063, -87.520635, 5.040685}
{-13.902203, -86.877826, 5.043138}
{-4.638496, -86.461777, 5.041257}
{4.638496, -86.461777, 5.041257}
{13.902203, -86.877826, 5.043138}
{23.123063, -87.520635, 5.040685}
{32.305853, -88.234059, 5.03677}
{41.460596, -88.929858, 5.033324}
{50.600268, -89.566481, 5.031187}
{59.73861, -90.12961, 5.030665}
{68.88856, -90.61911, 5.031813}
{78.061278, -91.041255, 5.034564}
{91.32715, -91.32715, 5.114292}
{-91.308409, -91.308409, 5.135088}
{-78.027531, -91.020659, 5.041108}
{-68.860343, -90.595242, 5.038058}
{-59.715578, -90.101651, 5.036963}
{-50.582002, -89.5334, 5.037939}
{-41.446614, -88.890419, 5.04097}
{-32.295649, -88.186918, 5.045761}
{-23.116145, -87.464687, 5.05141}
{-13.898176, -86.813069, 5.055743}
{-4.637161, -86.390954, 5.055268}
{4.637161, -86.390954, 5.055268}
{13.898176, -86.813069, 5.055743}
{23.116145, -87.464687, 5.05141}
{32.295649, -88.186918, 5.045761}
{41.446614, -88.890419, 5.04097}
{50.582002, -89.5334, 5.037939}
{59.715578, -90.101651, 5.036963}
{68.860343, -90.595242, 5.038058}
{78.027531, -91.020659, 5.041108}
{91.308409, -91.308409, 5.135088}
{-91.337512, -91.337512, 5.102738}
{-78.07998, -91.052654, 5.030924}
{-68.904206, -90.632308, 5.028346}
{-59.751385, -90.145055, 5.027174}
{-50.610404, -89.584732, 5.02745}
{-41.468355, -88.951586, 5.029098}
{-32.311515, -88.259985, 5.031805}
{-23.126898, -87.551349, 5.034766}
{-13.904433, -86.913313, 5.036184}
{-4.639234, -86.500544, 5.033528}
{4.639234, -86.500544, 5.033528}
{13.904433, -86.913313, 5.036184}
{23.126898, -87.551349, 5.034766}
{32.311515, -88.259985, 5.031805}
{41.468355, -88.951586, 5.029098}
{50.610404, -89.584732, 5.02745}
{59.751385, -90.145055, 5.027174}
{68.904206, -90.632308, 5.028346}
{78.07998, -91.052654, 5.030924}
{91.337512, -91.337512, 5.102738}
{-91.308409, -91.308409, 5.135088}
{-78.027531, -91.020659, 5.041108}
{-68.860343, -90.595242, 5.038058}
{-59.715578, -90.101651, 5.036963}
{-50.582002, -89.5334, 5.037939}
{-41.446614, -88.890419, 5.04097}
{-32.295649, -88.186918, 5.045761}
{-23.116145, -87.464687, 5.05141}
{-13.898176, -86.813069, 5.055743}
{-4.637161, -86.390954, 5.055268}
{4.637161, -86.390954, 5.055268}
{13.898176, -86.813069, 5.055743}
{23.116145, -87.464687, 5.05141}
{32.295649, -88.186918, 5.045761}
{41.446614, -88.890419, 5.04097}
{50.582002, -89.5334, 5.037939}
{59.715578, -90.101651, 5.036963}
{68.860343, -90.595242, 5.038058}
{78.027531, -91.020659, 5.041108}
{91.308409, -91.308409, 5.135088}
{-91.32715, -91.32715, 5.114292}
{-78.061278, -91.041255, 5.034564}
{-68.88856, -90.61911, 5.031813}
{-59.73861, -90.12961, 5.030665}
{-50.600268, -89.566481, 5.031187}
{-41.460596, -88.929858, 5.033324}
{-32.305853, -88.234059, 5.03677}
{-23.123063, -87.520635, 5.040685}
{-13.902203, -86.877826, 5.043138}
{-4.638496, -86.461777, 5.041257}
{4.638496, -86.461777, 5.041257}
{13.902203, -86.877826, 5.043138}
{23.123063, -87.520635, 5.040685}
{32.305853, -88.234059, 5.03677}
{41.460596, -88.929858, 5.033324}
{50.600268, -89.566481, 5.031187}
{59.73861, -90.12961, 5.030665}
{68.88856, -90.61911, 5.031813}
{78.061278, -91.041255, 5.034564}
{91.32715, -91.32715, 5.114292}
{-91.326227, -91.326227, 5.115319}
{-78.059614, -91.040241, 5.034887}
{-68.887169, -90.617934, 5.032122}
{-59.737474, -90.128234, 5.030976}
{-50.599367, -89.564855, 5.03152}
{-41.459906, -88.927921, 5.033701}
{-32.30535, -88.231745, 5.037213}
{-23.122721, -87.517892, 5.041213}
{-13.902005, -86.874655, 5.043758}
{-4.63843, -86.458312, 5.041946}
{4.63843, -86.458312, 5.041946}
{13.902005, -86.874655, 5.043758}
{23.122721, -87.517892, 5.041213}
{32.30535, -88.231745, 5.037213}
{41.459906, -88.927921, 5.033701}
{50.599367, -89.564855, 5.03152}
{59.737474, -90.128234, 5.030976}
{68.887169, -90.617934, 5.032122}
{78.059614, -91.040241, 5.034887}
{91.326227, -91.326227, 5.115319}
{-91.282136, -91.282132, 5.164036}
{-77.980378, -90.991819, 5.050206}
{-68.820947, -90.561779, 5.046759}
{-59.683442, -90.06239, 5.04576}
{-50.556525, -89.486859, 5.047391}
{-41.427118, -88.834807, 5.051692}
{-32.281415, -88.120275, 5.058386}
{-23.106487, -87.38537, 5.066484}
{-13.892543, -86.721012, 5.073472}
{-4.63529, -86.290092, 5.074976}
{4.63529, -86.290092, 5.074976}
{13.892543, -86.721012, 5.073472}
{23.106487, -87.38537, 5.066484}
{32.281415, -88.120275, 5.058386}
{41.427118, -88.834807, 5.051692}
{50.556525, -89.486859, 5.047391}
{59.683442, -90.06239, 5.04576}
{68.820946, -90.56178, 5.046758}
{77.980378, -90.991823, 5.050205}
{91.282136, -91.282136, 5.164036}
{-91.305137, -91.305082, 5.138717}
{-78.02165, -91.017028, 5.042253}
{-68.855423, -90.591051, 5.039149}
{-59.711567, -90.096752, 5.038063}
{-50.578818, -89.527611, 5.039118}
{-41.444178, -88.883509, 5.042306}
{-32.29387, -88.178649, 5.047333}
{-23.114939, -87.454859, 5.053286}
{-13.897473, -86.801678, 5.057949}
{-4.636928, -86.378486, 5.05772}
{4.636928, -86.378486, 5.05772}
{13.897473, -86.801678, 5.057949}
{23.114939, -87.454859, 5.053286}
{32.29387, -88.178649, 5.047333}
{41.444178, -88.883509, 5.042306}
{50.578818, -89.527611, 5.039118}
{59.711564, -90.096762, 5.038062}
{68.855424, -90.591072, 5.039146}
{78.021645, -91.017063, 5.042247}
{91.305135, -91.305135, 5.138709}
{-91.293902, -91.293464, 5.151216}
{-78.001409, -91.004429, 5.046202}
{-68.838521, -90.576572, 5.042906}
{-59.69776, -90.079842, 5.041852}
{-50.567883, -89.507615, 5.043181}
{-41.435802, -88.859666, 5.046908}
{-32.287755, -88.15009, 5.05275}
{-23.11079, -87.420887, 5.059753}
{-13.895055, -86.76227, 5.065554}
{-4.636125, -86.335322, 5.066174}
{4.636125, -86.335322, 5.066174}
{13.895055, -86.76227, 5.065554}
{23.11079, -87.420887, 5.059753}
{32.287755, -88.15009, 5.05275}
{41.435802, -88.859666, 5.046908}
{50.567873, -89.507648, 5.043176}
{59.697759, -90.079916, 5.04184}
{68.838501, -90.57671, 5.042884}
{78.001394, -91.004683, 5.046158}
{91.293859, -91.293859, 5.15115}
{-91.328949, -91.32652, 5.112931}
{-78.063969, -91.041691, 5.034215}
{-68.890829, -90.620229, 5.031419}
{-59.740455, -90.131446, 5.030213}
{-50.601703, -89.568914, 5.030679}
{-41.461699, -88.93287, 5.032738}
{-32.306648, -88.237709, 5.036072}
{-23.123601, -87.524962, 5.039853}
{-13.902517, -86.882828, 5.04216}
{-4.6386, -86.467243, 5.04017}
{4.6386, -86.467243, 5.04017}
{13.902517, -86.882828, 5.04216}
{23.123601, -87.524962, 5.039853}
{32.306648, -88.237709, 5.036072}
{41.461686, -88.932916, 5.03273}
{50.601691, -89.569048, 5.030662}
{59.740404, -90.131782, 5.030175}
{68.890758, -90.620965, 5.031327}
{78.063905, -91.042857, 5.034053}
{91.328606, -91.328606, 5.11267}
{-91.271608, -91.258113, 5.179373}
{-77.958496, -90.972452, 5.055397}
{-68.802543, -90.542647, 5.05143}
{-59.668388, -90.04198, 5.050206}
{-50.544563, -89.463917, 5.051994}
{-41.417933, -88.808043, 5.05682}
{-32.274672, -88.088338, 5.064401}
{-23.101907, -87.347266, 5.073672}
{-13.889867, -86.676685, 5.081929}
{-4.634399, -86.241451, 5.084377}
{4.634399, -86.241451, 5.084377}
{13.889867, -86.676685, 5.081929}
{23.101907, -87.347266, 5.073672}
{32.274672, -88.088338, 5.064401}
{41.417883, -88.808214, 5.056795}
{50.544456, -89.464646, 5.051882}
{59.668212, -90.043682, 5.049932}
{68.802266, -90.545859, 5.050876}
{77.958006, -90.978118, 5.054502}
{91.269634, -91.269634, 5.177725}
{-91.347453, -91.290087, 5.106878}
{-78.084625, -91.032465, 5.033023}
{-68.907079, -90.62407, 5.029141}
{-59.753322, -90.142538, 5.027327}
{-50.611766, -89.585168, 5.027258}
{-41.469304, -88.953619, 5.028689}
{-32.312135, -88.262813, 5.031263}
{-23.127318, -87.554697, 5.034119}
{-13.904677, -86.917178, 5.035425}
{-4.639315, -86.504764, 5.032684}
{4.639315, -86.504764, 5.032684}
{13.904677, -86.917178, 5.035425}
{23.127318, -87.554697, 5.034119}
{32.312135, -88.262813, 5.031263}
{41.469204, -88.953957, 5.028636}
{50.611513, -89.586726, 5.027042}
{59.752783, -90.146742, 5.026793}
{68.905917, -90.633751, 5.027967}
{78.082027, -91.053901, 5.030525}
{91.338645, -91.338645, 5.101473}
{-91.321496, -91.008528, 5.208354}
{-77.971984, -90.876868, 5.068361}
