Year,mesh 1 face centerpoint,mesh 1 color code,mesh 1 normal,Mesh 1 face centerpoint to Mesh 1 face n+1 centerpoint distance,Mesh 1 face centerpoint vector to Mesh 1 face n+1 centerpoint vector angle
2017,"(46.3, 30.94, 34.41)","(243,57,0)","(0.2, 0.58, -0.79)",6.03,0.26
2017,"(50.78, 33.58, 37.47)","(243,57,0)","(0.19, 0.59, -0.79)",15.18,0.36
2017,"(3.6, 2.32, 2.62)","(243,55,3)","(0.22, 0.56, -0.8)",1.25,1.04
2017,"(40.24, 26.22, 29.4)","(243,57,0)","(-0.19, -0.59, 0.79)",39.14,2.38
2017,"(12.76, 7.53, 8.73)","(243,57,0)","(0.56, -0.82, -0.1)",3.31,0.01
2017,"(12.64, 8.34, 9.31)","(243,57,0)","(0.2, 0.58, -0.79)",0.22,0.11
2017,"(12.77, 8.46, 9.44)","(243,57,0)","(-0.19, -0.59, 0.78)",12.97,0.65
2017,"(3.6, 2.32, 2.62)","(243,57,0)","(0.22, 0.56, -0.8)",1.25,1.04
2017,"(3.6, 2.32, 2.62)","(243,56,1)","(0.22, 0.56, -0.8)",1.25,1.04
2017,"(3.6, 2.32, 2.62)","(242,55,5)","(0.22, 0.56, -0.8)",1.25,1.04
2017,"(3.6, 2.32, 2.62)","(242,52,10)","(0.22, 0.56, -0.8)",1.25,1.04
2017,"(3.6, 2.32, 2.62)","(243,57,1)","(0.22, 0.56, -0.8)",1.25,1.04
2017,"(3.6, 2.32, 2.62)","(242,51,12)","(0.22, 0.56, -0.8)",1.25,1.04
2017,"(3.6, 2.32, 2.62)","(241,50,14)","(0.22, 0.56, -0.8)",1.25,1.04
2017,"(0.4, 0.24, 0.28)","(243,57,0)","(0.24, -0.89, 0.38)",2.39,0.23
2017,"(9.88, 6.56, 7.32)","(243,57,0)","(-0.18, -0.6, 0.78)",13.39,2.35
2017,"(12.91, 8.59, 9.57)","(243,57,0)","(0.2, 0.58, -0.79)",4.29,0.05
2017,"(9.34, 6.26, 6.95)","(243,57,0)","(0, -0.74, 0.67)",5,0.17
2017,"(7.6, 5.04, 5.62)","(243,57,0)","(-0.66, 0.72, 0.22)",2.51,0.25
2017,"(10.97, 6.58, 7.59)","(243,57,0)","(-0.18, -0.6, 0.78)",4.2,2.42
2017,"(12.81, 7.69, 8.86)","(243,57,0)","(0.18, 0.6, -0.78)",2.5,0.02
2017,"(10.32, 6.22, 7.16)","(243,55,3)","(-0.18, -0.59, 0.78)",3.35,0.1
2017,"(37.25, 22.04, 25.54)","(243,57,1)","(0.17, 0.61, -0.77)",36.24,0.44
2017,"(40.56, 23.97, 27.8)","(243,57,0)","(-0.17, -0.61, 0.77)",4.45,0.03
2017,"(28.04, 16.6, 19.24)","(243,57,0)","(0.17, 0.61, -0.78)",16.86,0.04
2017,"(15.21, 8.98, 10.41)","(243,57,0)","(0.17, 0.61, -0.77)",17.34,0.07
2017,"(1.92, 1.24, 1.4)","(243,57,0)","(-0.2, -0.59, 0.79)",1.46,0.43
2017,"(1.88, 1.21, 1.37)","(243,57,0)","(0.17, 0.61, -0.77)",0.06,0.08
2017,"(3.41, 2.25, 2.52)","(243,57,0)","(-0.2, -0.58, 0.79)",2.18,0.58
2017,"(6.74, 4.32, 4.87)","(243,57,0)","(-0.18, -0.6, 0.78)",4.57,0.74
