timestep;mesh  1  face  centerpoint;mesh  1  color  code;mesh  1  normal;Mesh  1  face  centerpoint  to  Mesh  1  face  n+1  centerpoint  distance;Mesh  1  face  centerpoint  vector  to  Mesh  1  face  n+1  centerpoint  vector  angle
156;(382.75,  192.25,  25);(5,189,200);(-0.71,  0.71,  -0.07);24.93;1.76
156;(387.5,  196.25,  25);(1,192,229);(-0.57,  0.82,  0);6.21;0.2
156;(390.25,  198.75,  25);(2,189,227);(-0.94,  0.31,  0.13);3.72;0.13
156;(284.75,  195.75,  25);(14,182,125);(0.43,  -0.26,  0.86);2.14;0.09
156;(258,  194.75,  25);(11,184,146);(-0.01,  -1,  0);26.77;2.55
156;(231.75,  196.25,  25);(1,192,229);(-0.98,  -0.2,  -0.08);26.29;3.21
156;(231.75,  196.75,  25);(2,191,223);(0.95,  0.32,  0.08);0.5;0.07
156;(232,  196,  25);(12,183,140);(0,  1,  -0.08);0.79;0.14
156;(284,  196.5,  25);(14,182,125);(-0.01,  1,  -0.08);52.0;5.53
156;(335.5,  197.75,  25);(2,191,223);(-0.22,  -0.15,  0.96);51.52;4.18
156;(336.25,  198.75,  25);(1,192,227);(-0.15,  0.75,  0.64);1.25;0.07
156;(325.75,  222.5,  25);(15,180,113);(-0.22,  -0.11,  0.97);25.97;3.74
156;(315.25,  246,  25);(12,183,140);(0,  0.47,  0.88);25.74;3.62
156;(380.25,  222.25,  25);(1,192,227);(0.35,  0.93,  -0.07);69.2;7.65
156;(320.5,  180.25,  25);(1,192,227);(0.01,  -1,  0.06);49.5;3.4
156;(497.25,  194,  25);(6,188,191);(0.89,  0.44,  -0.13);0.56;0.04
156;(501.25,  191.5,  25);(4,189,203);(0,  1,  -0.1);4.72;0.4
156;(503,  195,  25);(1,191,228);(-0.94,  -0.27,  0.23);3.91;0.28
156;(503.25,  194.75,  25);(2,189,227);(0.95,  0.32,  -0.08);0.35;0.03
156;(291.75,  184.5,  25);(61,184,32);(-0.22,  0.16,  0.96);10.89;0.74
156;(292.5,  185.5,  25);(62,184,31);(0,  0,  0);1.25;0.07
156;(291.5,  185,  25);(129,204,16);(0.21,  -0.42,  -0.88);1.12;0.02
156;(301.75,  186.5,  25);(145,210,19);(-0.18,  0.98,  -0.01);10.36;0.69
156;(313,  189.5,  25);(5,189,198);(-0.27,  0,  -0.96);11.64;0.54
156;(268,  188,  25);(61,184,32);(0.05,  -0.97,  0.23);45.02;3.87
156;(223,  186,  25);(145,210,19);(-0.56,  0,  -0.83);45.04;4.8
156;(251,  189.5,  25);(29,179,75);(-0.11,  0.99,  -0.01);28.22;2.79
156;(278.75,  193.75,  25);(7,187,184);(-0.41,  -0.08,  0.91);28.07;2.27
156;(305.75,  194.25,  25);(5,189,198);(0.03,  1,  0.02);27.0;2.38
156;(334.5,  193.25,  25);(29,179,75);(0.16,  0.99,  -0.05);28.77;2.42
156;(432,  184.5,  25);(1,192,229);(-0.41,  0.25,  -0.88);6.21;0.23
156;(483,  188,  25);(2,191,222);(-0.78,  -0.62,  -0.02);5.03;0.38
156;(482.75,  188.75,  25);(5,189,197);(0.7,  0.7,  -0.14);0.79;0.09
156;(485.25,  190,  25);(1,192,229);(-0.96,  0.24,  0.14);2.8;0.03
156;(481.5,  194.5,  25);(2,191,223);(-0.31,  -0.94,  0.14);5.86;0.61
156;(389.5,  197.75,  25);(5,188,194);(0.86,  -0.49,  -0.09);1.25;0.07
156;(390.75,  196.75,  25);(6,188,185);(-0.32,  0.95,  0.08);1.6;0.19
156;(392.25,  199,  25);(2,189,227);(-0.89,  -0.45,  -0.03);2.7;0.17
156;(389,  197,  25);(3,187,226);(0.81,  -0.58,  0.09);3.82;0.05
156;(387.25,  192.75,  25);(52,182,45);(0.7,  0.7,  0.13);4.6;0.4
156;(386.5,  191.5,  25);(5,188,194);(0.31,  -0.92,  -0.26);1.46;0.1
156;(383.5,  188.75,  25);(3,187,226);(0.83,  -0.55,  -0.09);4.07;0.15
156;(376.75,  184,  25);(1,192,229);(0.43,  -0.9,  -0.12);8.25;0.19
156;(371.25,  181,  25);(53,183,44);(0.84,  -0.42,  0.33);6.26;0.06
156;(371,  180.25,  25);(52,182,45);(0.95,  0,  0.32);0.79;0.08
156;(370,  180.25,  25);(1,192,229);(-0.24,  -0.97,  0.05);1.0;0.06
156;(497.75,  193.75,  25);(1,191,228);(-0.84,  -0.54,  -0.07);1.0;0.04
156;(487.5,  177.5,  25);(8,186,171);(-0.26,  0.97,  -0.03);29.41;0.38
156;(516.75,  185.75,  25);(11,184,149);(-0.3,  -0.9,  0.32);30.39;0.28
156;(440.5,  183,  25);(1,192,228);(0.04,  -1,  0.06);76.3;2.81
156;(365,  181.75,  25);(2,191,219);(-0.16,  0,  -0.99);75.51;3.94
156;(505.5,  195.5,  25);(3,190,212);(-0.97,  0.22,  -0.09);2.37;0.02
156;(506.75,  201,  25);(6,188,191);(-0.97,  0.24,  -0.03);5.64;0.49
156;(507.5,  196.25,  25);(2,189,227);(0.99,  0.09,  -0.11);4.81;0.49
156;(506,  193.25,  25);(1,192,229);(-0.81,  -0.59,  -0.01);3.35;0.24
156;(503.5,  194,  25);(3,191,217);(0.97,  -0.24,  0.02);2.61;0.17
156;(503,  190,  25);(3,190,212);(0.96,  0,  0.29);4.03;0.38
156;(496.75,  186.5,  25);(1,192,229);(0.23,  -0.97,  -0.01);7.16;0.12
156;(489.25,  181.75,  25);(1,192,229);(0.88,  -0.34,  0.35);8.88;0.2
156;(461,  180.25,  25);(5,189,200);(-0.06,  -0.96,  -0.27);28.29;0.99
156;(429.5,  181.25,  25);(3,191,217);(0.16,  -0.95,  0.27);31.52;1.53
156;(427.25,  180.5,  25);(1,192,229);(0,  0.99,  -0.14);2.37;0.03
156;(480.75,  183.5,  25);(4,190,208);(-0.42,  0.9,  -0.08);28.84;0.97
156;(407.75,  170.5,  25);(6,188,185);(-0.21,  -0.97,  0.09);13.29;1.06
156;(395.25,  172.75,  25);(5,188,193);(0.31,  -0.94,  0.13);12.7;0.92
156;(396,  173.5,  25);(1,192,229);(-0.55,  0.83,  -0.09);1.06;0.05
156;(398.5,  176,  25);(1,192,229);(-0.83,  0.55,  0.03);3.54;0.17
156;(481.75,  196.25,  25);(3,190,212);(-0.05,  0.99,  -0.13);1.77;0.17
156;(488.5,  196.25,  25);(4,190,208);(0.12,  0.99,  -0.06);6.75;0.28
156;(487.75,  198,  25);(2,191,223);(-0.58,  -0.8,  0.12);1.9;0.21
156;(488.25,  200.75,  25);(1,192,229);(-0.22,  0.97,  0.03);2.8;0.26
156;(493,  201,  25);(4,189,202);(0.31,  0.93,  -0.19);4.76;0.17
156;(495.75,  199.5,  25);(3,190,212);(0.62,  0.77,  -0.12);3.13;0.26
156;(498,  199.75,  25);(1,192,229);(-0.78,  0.62,  0.1);2.26;0.07
156;(498.75,  201.25,  25);(1,192,229);(-0.7,  -0.7,  -0.08);1.68;0.12
156;(498.25,  199.25,  25);(4,189,203);(0.99,  -0.11,  0.04);2.06;0.18
156;(496,  196.75,  25);(4,189,202);(0.12,  -0.99,  -0.01);3.36;0.16
156;(496.75,  193.75,  25);(1,192,229);(0.7,  0.7,  0.18);3.09;0.33
156;(459,  170.25,  25);(1,192,228);(0.35,  -0.71,  -0.61);29.54;1.11
156;(366.75,  161.5,  25);(5,188,194);(-0.04,  -1,  -0.04);10.44;0.84
156;(316.25,  163.5,  25);(3,190,210);(0,  1,  -0.02);50.54;3.59
156;(295,  163,  25);(11,184,149);(0.02,  -1,  0.06);21.26;1.6
156;(274,  163.5,  25);(14,182,126);(-0.44,  0.44,  -0.78);21.01;1.91
156;(319.5,  176.5,  25);(15,181,115);(0.15,  -0.99,  0.07);45.8;2.48
156;(275,  170.75,  25);(8,186,171);(-0.36,  0.29,  0.89);44.87;2.95
156;(274.25,  180,  25);(2,191,219);(-0.36,  -0.08,  0.93);9.28;1.44
156;(272.5,  188,  25);(2,191,218);(0,  0,  0);8.19;1.32
156;(307,  181.25,  25);(17,179,101);(0.19,  0.98,  -0.02);35.15;4.05
156;(340.5,  174.75,  25);(15,181,115);(-0.24,  -0.97,  -0.07);34.12;3.39
156;(374.5,  175,  25);(2,191,218);(0,  1,  0.08);34.0;2.14
156;(409,  176.25,  25);(3,190,209);(-0.34,  -0.14,  0.93);34.52;1.75
156;(418.25,  177.5,  25);(5,189,197);(0,  0.99,  -0.16);9.33;0.32
156;(427.75,  179.25,  25);(17,179,101);(-0.39,  -0.06,  0.92);9.66;0.27
156;(452,  181.25,  25);(3,190,209);(-0.01,  0.99,  -0.12);24.33;0.9
156;(420.5,  166.75,  25);(1,192,229);(-0.67,  -0.53,  -0.52);1.9;0.17
156;(336,  149.25,  25);(17,179,99);(-0.07,  -0.88,  0.47);26.82;1.86
156;(307.5,  152.5,  25);(18,178,92);(-0.3,  0,  0.95);28.68;2.44
156;(308.5,  154.25,  25);(11,184,146);(-0.3,  0.4,  0.87);2.02;0.19
156;(348,  157.5,  25);(12,183,139);(-0.06,  0.99,  -0.09);39.63;2.25
156;(397.25,  177.5,  25);(9,186,165);(0,  -1,  0.06);1.95;0.25
156;(394.75,  177,  25);(6,188,185);(0.89,  -0.45,  0.04);2.55;0.08
156;(397.5,  177.75,  25);(1,192,229);(-0.38,  0.92,  -0.07);2.85;0.06
156;(402.25,  179.25,  25);(1,192,229);(-0.14,  0.99,  0);4.98;0.08
156;(401.25,  178,  25);(9,185,161);(0.47,  -0.87,  -0.15);1.6;0.1
156;(400.25,  178,  25);(9,186,165);(-0.64,  0.75,  0.15);1.0;0.05
156;(403,  176,  25);(1,192,229);(0.96,  0.27,  0.1);3.4;0.38
156;(404.75,  171.25,  25);(1,192,229);(0.83,  0.5,  0.23);5.06;0.66
156;(403.75,  170.5,  25);(11,184,149);(-0.26,  -0.92,  -0.28);1.25;0.04
156;(400.25,  168.75,  25);(9,185,161);(0.79,  -0.61,  -0.05);3.91;0.04
156;(429.5,  168.75,  25);(1,192,229);(-0.07,  1,  -0.07);29.25;1.42
156;(377,  159.5,  25);(11,184,149);(0,  1,  -0.1);11.01;0.65
156;(547.25,  130.5,  25);(17,178,95);(-0.5,  0.87,  0);2.37;0.02
156;(485.5,  131.5,  25);(17,179,98);(0,  -1,  0);61.76;1.77
156;(421,  131.25,  25);(5,189,196);(0.15,  -0.61,  0.78);64.5;2.19
156;(354.75,  131.75,  25);(3,190,210);(-0.01,  -1,  0);66.25;3.1
156;(328,  163.5,  25);(3,190,209);(0.02,  1,  0.01);54.0;4.36
156;(379.75,  163,  25);(5,188,194);(-0.29,  -0.72,  0.63);51.75;3.29
156;(410.25,  162.75,  25);(14,182,126);(0.02,  1,  -0.04);30.5;1.6
156;(440.5,  162.25,  25);(4,184,224);(-0.16,  -0.98,  0.07);30.25;1.43
156;(438.25,  163.75,  25);(5,189,198);(-0.86,  -0.51,  0);2.7;0.27
156;(438.25,  164.25,  25);(3,190,209);(0.71,  0.71,  -0.01);0.5;0.06
156;(439.25,  163,  25);(4,184,224);(0.89,  0.45,  -0.02);1.6;0.19
156;(440,  163.5,  25);(2,190,228);(-0.88,  0.44,  0.18);0.9;0.03
156;(428.75,  164.25,  25);(5,188,193);(0.02,  -1,  -0.04);11.27;0.58
156;(417.5,  164.25,  25);(5,189,198);(-0.4,  0.8,  -0.45);11.25;0.52
156;(419.75,  165,  25);(2,190,228);(-0.25,  0.88,  -0.4);2.37;0.02
156;(362.75,  147.33,  25);(11,184,146);(0.12,  0.65,  -0.75);70.75;4.74
