timestep; mesh 1 face centerpoint; mesh 1 color code; mesh 1 normal; Mesh 1 face centerpoint to Mesh 1 face n+1 centerpoint distance; Mesh 1 face centerpoint vector to Mesh 1 face n+1 centerpoint vector angle
0;(158.75, 482.75, 25.00);(61,193,215);(0.00, 0.16, 0.99);380.87;0.16;
0;(158.50, 482.25, 25.00);(60,194,214);(0.22, 0.00, -0.98);385.54;2.92;
0;(113.75, 478.75, 25.00);(60,194,213);(-0.25, -0.25, -0.94);346.9;2.78;
0;(155.75, 473.00, 25.00);(48,206,199);(0.42, 0.21, 0.88);313.53;0.49;
0;(236.75, 476.00, 25.00);(124,130,254);(0.29, 0.04, -0.96);377.22;2.85;
0;(238.75, 478.25, 25.00);(128,126,254);(0.23, 0.00, -0.97);386.15;2.91;
0;(241.00, 478.25, 25.00);(130,124,254);(-0.22, 0.00, 0.97);388.68;0.22;
0;(242.00, 476.50, 25.00);(130,124,254);(-0.27, -0.04, 0.96);382.37;0.28;
0;(243.25, 475.25, 25.00);(131,123,254);(-0.56, -0.28, 0.78);377.44;0.68;
0;(196.00, 474.25, 25.00);(78,176,232);(0.05, -0.11, -0.99);441.91;3.02;
0;(197.00, 474.00, 25.00);(78,176,232);(-0.67, -0.67, 0.32);440.12;1.24;
0;(196.00, 473.50, 25.00);(77,177,231);(0.13, -0.03, -0.99);438.55;3.01;
0;(195.50, 472.50, 25.00);(76,178,230);(-0.70, -0.70, 0.11);438.46;1.46;
0;(195.25, 471.50, 25.00);(75,179,229);(0.00, -0.16, -0.99);433.87;2.98;
0;(193.25, 471.25, 25.00);(72,182,227);(0.04, 0.20, 0.98);432.83;0.21;
0;(191.00, 471.00, 25.00);(70,184,224);(-0.10, 0.07, 0.99);433.52;0.12;
0;(190.25, 471.00, 25.00);(69,185,224);(-0.31, -0.15, 0.94);429.67;0.35;
0;(92.00, 469.25, 25.00);(66,188,220);(0.45, 0.30, 0.84);326.93;0.57;
0;(90.75, 470.50, 25.00);(68,186,222);(0.00, 0.16, 0.99);328.23;0.16;
0;(139.00, 467.25, 25.00);(38,216,185);(0.95, 0.00, -0.30);305.05;1.88;
0;(71.00, 471.00, 25.00);(89,165,240);(0.72, -0.18, 0.67);327.32;0.84;
0;(72.00, 474.25, 25.00);(90,164,242);(0.15, 0.10, 0.98);326.69;0.19;
0;(79.75, 475.75, 25.00);(83,171,237);(0.23, 0.08, 0.97);323.28;0.24;
0;(89.25, 475.75, 25.00);(74,180,229);(-0.51, -0.00, -0.86);318.65;2.6;
0;(92.75, 474.75, 25.00);(70,184,225);(-0.13, -0.13, -0.98);315.53;2.96;
0;(94.25, 472.75, 25.00);(67,187,221);(-0.22, -0.11, -0.97);315.53;2.9;
0;(93.75, 468.75, 25.00);(64,190,218);(-0.84, 0.12, -0.53);314.81;2.13;
0;(47.00, 466.50, 25.00);(113,141,253);(-0.99, 0.00, 0.14);305.13;1.43;
0;(41.25, 466.00, 25.00);(120,134,254);(0.29, 0.15, 0.94);306.37;0.33;
0;(38.00, 465.75, 25.00);(124,130,254);(-0.03, 0.16, 0.99);307.83;0.17;
0;(37.00, 466.25, 25.00);(126,128,254);(0.02, -0.16, -0.99);306.97;2.98;
0;(15.25, 465.25, 25.00);(153,101,248);(0.09, 0.17, 0.98);303.22;0.19;
0;(12.50, 464.75, 25.00);(156,98,246);(-0.08, -0.17, -0.98);303.92;2.95;
0;(19.00, 464.50, 25.00);(148,106,250);(-0.08, -0.16, -0.98);305.18;2.96;
0;(20.25, 464.50, 25.00);(146,108,251);(0.00, -0.16, -0.99);303.5;2.98;
0;(21.25, 465.50, 25.00);(145,109,251);(-0.08, -0.16, -0.98);300.96;2.96;
0;(21.25, 466.25, 25.00);(146,108,251);(0.08, 0.16, 0.98);299.49;0.18;
0;(19.25, 464.75, 25.00);(147,107,251);(0.00, 0.17, 0.99);302.92;0.17;
0;(18.00, 464.50, 25.00);(149,105,250);(1.00, -0.00, 0.10);305.15;1.47;
0;(28.25, 464.00, 25.00);(135,119,254);(0.15, 0.15, 0.98);302.79;0.22;
0;(29.25, 465.50, 25.00);(135,119,254);(0.00, 0.16, 0.99);303.33;0.17;
0;(31.25, 465.50, 25.00);(132,122,254);(1.00, -0.00, 0.10);305.14;1.47;
0;(33.75, 465.25, 25.00);(129,125,254);(-0.16, -0.16, -0.97);305.62;2.91;
0;(41.00, 464.75, 25.00);(120,134,254);(-0.08, -0.16, -0.98);302.76;2.96;
0;(47.50, 465.00, 25.00);(112,142,252);(-0.35, -0.17, -0.92);298.65;2.75;
0;(51.75, 466.50, 25.00);(108,146,251);(0.98, 0.00, -0.20);294.43;1.77;
0;(51.00, 467.50, 25.00);(109,145,251);(-0.98, 0.00, 0.18);292.42;1.39;
0;(47.25, 465.00, 25.00);(112,142,252);(-0.09, 0.17, 0.98);287.42;0.19;
0;(37.00, 465.50, 25.00);(125,129,254);(1.00, 0.00, -0.02);287.72;1.59;
0;(27.75, 465.25, 25.00);(137,117,254);(-0.09, 0.18, 0.98);290.47;0.21;
0;(34.00, 464.25, 25.00);(128,126,254);(0.09, -0.18, -0.98);291.39;2.94;
0;(35.00, 464.25, 25.00);(127,127,254);(-0.08, -0.17, -0.98);291.52;2.95;
0;(28.00, 461.50, 25.00);(135,119,254);(0.17, -0.17, -0.97);289.41;2.9;
0;(29.75, 462.00, 25.00);(133,121,254);(0.00, -0.17, -0.98);290.35;2.97;
0;(23.25, 463.00, 25.00);(141,113,253);(0.12, -0.18, -0.98);290.93;2.93;
0;(26.50, 464.00, 25.00);(138,116,253);(0.00, -0.17, -0.99);291.1;2.97;
