time points - x,y,z
{-97.24566, -97.24566, 5.482578}
{-90.255907, -97.363057, 6.016316}
{-81.106903, -97.485515, 6.515821}
{-70.889536, -97.614208, 6.972938}
{-60.166234, -97.745901, 7.381701}
{-49.223193, -97.875073, 7.736156}
{-38.208211, -97.99445, 8.03006}
{-27.20282, -98.09557, 8.257145}
{-16.256761, -98.169773, 8.411713}
{-5.401696, -98.20971, 8.489403}
{5.401696, -98.20971, 8.489403}
{16.256761, -98.169773, 8.411713}
{27.20282, -98.09557, 8.257145}
{38.208211, -97.99445, 8.03006}
{49.223193, -97.875073, 7.736156}
{60.166234, -97.745901, 7.381701}
{70.889536, -97.614208, 6.972938}
{81.106903, -97.485515, 6.515821}
{90.255907, -97.363057, 6.016316}
{97.24566, -97.24566, 5.482578}
{-97.25739, -97.25739, 5.469983}
{-90.289432, -97.375486, 6.009194}
{-81.154102, -97.498621, 6.513875}
{-70.939717, -97.627994, 6.974902}
{-60.211545, -97.760716, 7.386303}
{-49.259496, -97.89027, 7.742376}
{-38.234355, -98.010323, 8.037132}
{-27.219486, -98.112027, 8.264556}
{-16.265511, -98.186665, 8.419141}
{-5.404316, -98.226842, 8.496655}
{5.404316, -98.226842, 8.496655}
{16.265511, -98.186665, 8.419141}
{27.219486, -98.112027, 8.264556}
{38.234355, -98.010323, 8.037132}
{49.259496, -97.89027, 7.742376}
{60.211545, -97.760716, 7.386303}
{70.939717, -97.627994, 6.974902}
{81.154102, -97.498621, 6.513875}
{90.289432, -97.375486, 6.009194}
{97.25739, -97.25739, 5.469983}
{-97.253618, -97.253618, 5.474052}
{-90.278635, -97.371488, 6.011501}
{-81.138871, -97.494404, 6.514512}
{-70.923501, -97.623557, 6.974276}
{-60.196887, -97.755726, 7.38483}
{-49.247755, -97.885379, 7.740376}
{-38.225904, -98.005214, 8.034858}
{-27.214103, -98.106731, 8.262175}
{-16.262687, -98.18123, 8.416756}
{-5.403471, -98.22133, 8.494329}
{5.403471, -98.22133, 8.494329}
{16.262687, -98.18123, 8.416756}
{27.214103, -98.106731, 8.262175}
{38.225904, -98.005214, 8.034858}
{49.247755, -97.885379, 7.740376}
{60.196887, -97.755726, 7.38483}
{70.923501, -97.623557, 6.974276}
{81.138871, -97.494404, 6.514512}
{90.278635, -97.371488, 6.011501}
{97.253618, -97.253618, 5.474052}
{-97.261276, -97.261276, 5.465773}
{-90.300575, -97.379606, 6.0068}
{-81.169848, -97.502968, 6.513207}
{-70.956515, -97.632993, 6.975532}
{-60.226722, -97.765561, 7.387827}
{-49.271667, -97.895631, 7.74443}
{-38.243108, -98.01559, 8.039475}
{-27.225057, -98.117488, 8.267007}
{-16.26843, -98.192269, 8.421594}
{-5.405189, -98.232525, 8.499046}
{5.405189, -98.232525, 8.499046}
{16.26843, -98.192269, 8.421594}
{27.225057, -98.117488, 8.267007}
{38.243108, -98.01559, 8.039475}
{49.271667, -97.895631, 7.74443}
{60.226722, -97.765561, 7.387827}
{70.956515, -97.632993, 6.975532}
{81.169848, -97.502968, 6.513207}
{90.300575, -97.379606, 6.0068}
{97.261276, -97.261276, 5.465773}
{-97.246474, -97.246474, 5.48171}
{-90.258227, -97.363919, 6.015827}
{-81.11016, -97.486423, 6.51569}
{-70.892992, -97.615163, 6.973076}
{-60.169351, -97.746905, 7.382021}
{-49.225691, -97.876126, 7.736587}
{-38.210011, -97.995549, 8.030551}
{-27.203969, -98.09671, 8.257659}
{-16.257365, -98.170943, 8.412229}
{-5.401877, -98.210897, 8.489908}
{5.401877, -98.210897, 8.489908}
{16.257365, -98.170943, 8.412229}
{27.203969, -98.09671, 8.257659}
{38.210011, -97.995549, 8.030551}
{49.225691, -97.876126, 7.736587}
{60.169351, -97.746905, 7.382021}
{70.892992, -97.615163, 6.973076}
{81.11016, -97.486423, 6.51569}
{90.258227, -97.363919, 6.015827}
{97.246474, -97.246474, 5.48171}
{-97.246158, -97.246158, 5.482046}
{-90.257328, -97.363585, 6.016017}
{-81.108898, -97.486071, 6.515741}
{-70.891652, -97.614793, 6.973023}
{-60.168142, -97.746516, 7.381897}
{-49.224722, -97.875718, 7.73642}
{-38.209313, -97.995123, 8.030361}
{-27.203523, -98.096268, 8.25746}
{-16.257131, -98.170489, 8.412029}
{-5.401807, -98.210437, 8.489712}
{5.401807, -98.210437, 8.489712}
{16.257131, -98.170489, 8.412029}
{27.203523, -98.096268, 8.25746}
{38.209313, -97.995123, 8.030361}
{49.224722, -97.875718, 7.73642}
{60.168142, -97.746516, 7.381897}
{70.891652, -97.614793, 6.973023}
{81.108898, -97.486071, 6.515741}
{90.257328, -97.363585, 6.016017}
{97.246158, -97.246158, 5.482046}
{-97.252517, -97.252517, 5.475237}
{-90.275485, -97.370321, 6.012172}
{-81.134433, -97.493173, 6.514696}
{-70.91878, -97.622263, 6.974092}
{-60.192624, -97.754366, 7.384397}
{-49.244339, -97.883952, 7.739791}
{-38.223444, -98.003724, 8.034194}
{-27.212535, -98.105186, 8.261479}
{-16.261865, -98.179643, 8.416059}
{-5.403225, -98.219721, 8.493648}
{5.403225, -98.219721, 8.493648}
{16.261865, -98.179643, 8.416059}
{27.212535, -98.105186, 8.261479}
{38.223444, -98.003724, 8.034194}
{49.244339, -97.883952, 7.739791}
{60.192624, -97.754366, 7.384397}
{70.91878, -97.622263, 6.974092}
{81.134433, -97.493173, 6.514696}
{90.275485, -97.370321, 6.012172}
{97.252517, -97.252517, 5.475237}
{-97.242602, -97.242602, 5.485833}
{-90.247192, -97.359819, 6.018147}
{-81.094678, -97.482102, 6.516312}
{-70.876572, -97.610619, 6.972418}
{-60.154545, -97.74213, 7.380498}
{-49.213828, -97.871117, 7.734535}
{-38.20146, -97.990317, 8.028216}
{-27.19851, -98.091285, 8.25521}
{-16.254495, -98.165373, 8.40977}
{-5.401017, -98.205248, 8.487504}
{5.401017, -98.205248, 8.487504}
{16.254495, -98.165373, 8.40977}
{27.19851, -98.091285, 8.25521}
{38.20146, -97.990317, 8.028216}
{49.213828, -97.871117, 7.734535}
{60.154545, -97.74213, 7.380498}
{70.876572, -97.610619, 6.972418}
{81.094678, -97.482102, 6.516312}
{90.247192, -97.359819, 6.018147}
{97.242602, -97.242602, 5.485833}
{-97.252517, -97.252517, 5.475237}
{-90.275485, -97.370321, 6.012172}
{-81.134433, -97.493173, 6.514696}
